episode,score,lines,pieces,reward
846,-94.0,0,24,-194.0
847,-68.5,0,20,-68.5
848,-66.0,0,25,-66.0
849,-23.5,0,19,-123.5
850,-201.0,0,25,-301.0
851,148.5,0,20,148.5
852,-167.5,0,20,-267.5
853,-144.5,0,18,-144.5
854,207.5,0,25,107.5
855,-158.5,0,19,-258.5
856,-83.5,0,16,-183.5
857,-95.0,0,19,-95.0
858,-137.5,0,19,-137.5
859,-16.0,0,21,-16.0
860,-176.0,0,21,-176.0
861,97.5,0,23,97.5
862,-110.5,0,21,-110.5
863,241.5,0,27,241.5
864,130.5,0,25,130.5
865,-188.5,0,16,-188.5
866,172.0,0,24,72.0
867,-90.5,0,24,-90.5
868,-100.0,0,20,-100.0
869,223.0,0,28,223.0
870,-58.5,0,22,-58.5
871,-158.5,0,20,-258.5
872,-139.5,0,18,-139.5
873,26.0,0,21,26.0
874,-136.5,0,14,-236.5
875,-81.0,0,18,-81.0
876,-97.5,0,18,-97.5
877,-104.5,0,24,-104.5
878,-135.0,0,18,-235.0
879,-81.0,0,19,-181.0
880,-99.5,0,17,-99.5
881,-89.0,0,22,-89.0
882,-140.0,0,19,-140.0
883,70.0,0,21,-30.0
884,332.5,1,28,332.5
885,-83.0,0,20,-183.0
886,-21.5,0,21,-21.5
887,-28.5,0,27,-28.5
888,-150.5,0,18,-150.5
889,36.0,0,27,-64.0
890,-65.5,0,26,-165.5
891,-153.5,0,22,-253.5
892,-45.0,0,18,-45.0
893,321.0,0,26,321.0
894,-170.5,0,18,-270.5
895,-35.0,0,23,-135.0
